type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_page_159616034235	159616034235_10156163361924236	https://www.facebook.com/159616034235/posts/10156163361924236	Still have holiday shopping to do? 🙋🏻‍ Check off your list today from 1–4 p.m. Santa & our holiday helpers are in the house to help you pick out #GiftsThatRock! More ideas to #RockThisChristmas: http://walmart.com/lastminutegifts	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/25398867_10156163361309236_3434451111694603182_n.jpg?oh=34f662220cfd45917cba678454231686&oe=5ABB667D	https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/25398506_10156163361309236_3434451111694603182_o.jpg?oh=4ea6783dc582a31d3c1ea78c379e68ea&oe=5AC235DB	https://www.facebook.com/walmart/photos/a.10153961927514236.1073742013.159616034235/10156163361309236/?type=3	facebook.com	2017-12-16T19:03:34+0000	1513451014	16.12.2017 20:03	1872	358	2059	112	2529	307	200	107	263	0	1854	79	26	10	3	7	0
photo	post_page_159616034235	159616034235_10156150561479236	https://www.facebook.com/159616034235/posts/10156150561479236	The Christmas countdown is on & our Holiday Helpers are here to help you check off your list and check out fast. Share a pic with your favorite holiday helper and tag @Walmart! #RockThisChristmas	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/25299236_10156150561089236_8213277690442331619_n.jpg?oh=093b129b4be1c91d53ae09e2c41141c4&oe=5ABFE234	https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/25311043_10156150561089236_8213277690442331619_o.jpg?oh=726358ab248c994c8969595339b2dcb9&oe=5AC8916C	https://www.facebook.com/walmart/photos/a.10153961927514236.1073742013.159616034235/10156150561089236/?type=3	facebook.com	2017-12-12T18:00:27+0000	1513101627	12.12.2017 19:00	1813	357	2027	99	2483	303	174	129	328	0	1801	92	19	46	1	5	0
link	post_page_159616034235	159616034235_10156046062689236	https://www.facebook.com/159616034235/posts/10156046062689236	Count down to the hottest show of the year. Black Friday starts 6pm Thanksgiving.	https://scontent.xx.fbcdn.net/v/t1.0-1/c0.12.200.200/p200x200/555600_10150696051154236_1046183057_n.jpg?oh=dd742713aca7abcc5a60e28addff5ad8&oe=5AB4DB41	https://scontent.xx.fbcdn.net/v/t1.0-1/c0.12.200.200/p200x200/555600_10150696051154236_1046183057_n.jpg?oh=dd742713aca7abcc5a60e28addff5ad8&oe=5AB4DB41	https://www.walmart.com/store/weekly-ads?flyer_run_id=206811&flyer_type_name=ad%3Fsourceid%3Ddsn_fb_c635a8c8-80de-4527-87f3-54182b1349d2&veh=dsn&wmlspartner=dsn_fb_c635a8c8-80de-4527-87f3-54182b1349d2	walmart.com	2017-11-17T23:51:44+0000	1510962704	18.11.2017 00:51	1700	359	1871	182	2412	304	160	144	271	0	1664	61	5	18	5	13	0
photo	post_page_159616034235	159616034235_10156138314339236	https://www.facebook.com/159616034235/posts/10156138314339236	Had an incredible #ShopWithACop event with Washington DC Police Foundation this week - special thanks to these men and women for keeping us safe each day and helping their community! 💙	https://scontent.xx.fbcdn.net/v/t1.0-0/q81/s130x130/24862350_1527693490640204_1702925061690765040_n.jpg?oh=575b2a6682147cd75aa7c82f0e0f035c&oe=5AB2A211	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/24799564_1527693490640204_1702925061690765040_o.jpg?oh=7ad8d25fd0ca233894f4f4dcfb6b7786&oe=5ACD5BC8	https://www.facebook.com/WashingtonDCPoliceFoundation/photos/a.1527693427306877.1073741877.190814920994741/1527693490640204/?type=3	facebook.com	2017-12-08T21:40:00+0000	1512769200	8.12.2017 22:40	1346	48	1553	0	1601	31	22	9	135	0	1334	136	16	16	0	2	0
video	post_page_159616034235	159616034235_10156120766154236	https://www.facebook.com/159616034235/posts/10156120766154236	Our scholarship recipients Nyasha  Sharinel & Melick are settling into dorm life in this week’s #EllenSummitSeries – plus  some hard goodbyes. 💙	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/24196440_10156192960047240_7483135010313076736_n.jpg?oh=2e5f1d20c19afce97f1226acba963ff7&oe=5AB8ED7D	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/24196440_10156192960047240_7483135010313076736_n.jpg?oh=20994c622dacef989bb2a8403e8b6d60&oe=5ABBDA8F	https://www.facebook.com/ellentv/videos/10156192955257240/	facebook.com	2017-12-03T15:43:09+0000	1512315789	3.12.2017 16:43	1261	59	1468	1	1528	30	20	10	61	0	1247	114	14	27	7	3	0
video	post_page_159616034235	159616034235_10156114227294236	https://www.facebook.com/159616034235/posts/10156114227294236	Come party with us this Saturday  Dec 2nd from 1-4 p.m.🎊🎉 Taste some treats  get party décor ideas & take Selfies with Santa.🎅🏼 See you at our store!	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/24187457_10156114229364236_2580633268760084480_n.jpg?oh=6af1c48edcaa23c990d9b417fdc59c53&oe=5ABAF7DB	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/24187457_10156114229364236_2580633268760084480_n.jpg?oh=0929e5ab2cc52d9519bb89bc58ac69be&oe=5ACF8929	https://www.facebook.com/walmart/videos/10156114227294236/	facebook.com	2017-12-01T17:00:31+0000	1512147631	1.12.2017 18:00	1212	170	1349	266	1785	109	75	34	121	0	1203	52	10	22	2	5	0
video	post_page_159616034235	159616034235_10156040368074236	https://www.facebook.com/159616034235/posts/10156040368074236	We’ve been so honored to spend time with veterans in our communities and stores today.  Today and every day  we thank you 💚 #GreenlightAVet #VeteransDay	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/23496767_10156040376534236_4035099599675850752_n.jpg?oh=aff187d3a9da2cac4b6e9ed05b63f815&oe=5AC6A940	https://scontent.xx.fbcdn.net/v/t15.0-10/23496767_10156040376534236_4035099599675850752_n.jpg?oh=450919144164c5381169d1c3b450dcec&oe=5AC2C8BA	https://www.facebook.com/walmart/videos/10156040368074236/	facebook.com	2017-11-12T01:52:02+0000	1510451522	12.11.2017 02:52	1103	73	1283	60	1416	44	33	11	35	0	1085	84	7	0	2	2	0
video	post_page_159616034235	159616034235_10156037910979236	https://www.facebook.com/159616034235/posts/10156037910979236	We couldn’t be prouder of our veteran associates.💚 Today  and every day  we say THANK YOU to all veterans for your proud service of our country.🇺🇸 Learn how you can join us in honoring our veterans: greenlightavet.com. #GreenlightAVet #VeteransDay	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/23486650_10156037911489236_2074686452003766272_n.jpg?oh=f1e31b1cf092ca69bac660dfb803c398&oe=5ACCC3CE	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/23486650_10156037911489236_2074686452003766272_n.jpg?oh=ab9ba4672cd770e36738d07defa6c2f0&oe=5AFE7C3C	https://www.facebook.com/walmart/videos/10156037910979236/	facebook.com	2017-11-11T07:52:41+0000	1510386761	11.11.2017 08:52	897	81	1080	81	1242	58	38	20	50	0	877	98	5	1	1	1	0
photo	post_page_159616034235	159616034235_10156137087914236	https://www.facebook.com/159616034235/posts/10156137087914236	Twinning! 👯‍♀️	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/24796622_1624953974224311_2559515364079408584_n.jpg?oh=31aa06848ff8aca16c0c74fdccca48dd&oe=5AC84797	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/24796622_1624953974224311_2559515364079408584_n.jpg?oh=84429d4d9854d78ecdc83f49da08c7d4&oe=5AC62682	https://www.facebook.com/Walmart2805/photos/a.364579873595067.86475.207916905928032/1624953974224311/?type=3	facebook.com	2017-12-08T15:00:03+0000	1512745203	8.12.2017 16:00	792	94	919	0	1013	83	49	34	175	0	782	36	19	17	2	1	0
photo	post_page_159616034235	159616034235_10156141174114236	https://www.facebook.com/159616034235/posts/10156141174114236	Wanna know all the ways to save time shopping at Walmart? #Happytohelp! Ask us about the Walmart App today!	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/24852627_10156141173879236_4555526911876994910_n.jpg?oh=6f3c1f35d7cf816e95d501438b9abee3&oe=5AC4B55C	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/24852627_10156141173879236_4555526911876994910_n.jpg?oh=aecaeead04c5c4b3ad6a65d30a8d4d10&oe=5AC56051	https://www.facebook.com/walmart/photos/a.10153961927514236.1073742013.159616034235/10156141173879236/?type=3	facebook.com	2017-12-09T19:03:23+0000	1512846203	9.12.2017 20:03	750	376	919	59	1354	323	156	167	371	0	737	34	22	27	3	5	0
